Symbol,Action,Entry Time,Entry Price,Exit Time,Exit Price,Stop Loss,Size,Quantity,P&L
EURUSD,Buy,"May 15, 2024 3:05 PM",1.08375,"May 15, 2024 8:21 PM",1.0881,1.08341,20,40.0,8660.0
EURUSD,Buy,"May 15, 2024 4:52 PM",1.08617,"May 15, 2024 8:21 PM",1.08809,1.08552,15.38,30.76,2922.2
GBPUSD,Buy,"May 15, 2024 11:59 AM",1.26051,"May 15, 2024 1:30 PM",1.26287,1.26001,10,20.0,2340.0
EURUSD,Buy,"May 14, 2024 3:40 PM",1.08153,"May 14, 2024 8:36 PM",1.08206,1.08103,20,40.0,1020.0
EURUSD,Sell,"May 14, 2024 3:33 PM",1.08143,"May 14, 2024 3:48 PM",1.08201,1.08197,18.51,37.02,-1110.6
EURUSD,Sell,"May 14, 2024 3:19 PM",1.08128,"May 14, 2024 3:19 PM",1.08125,,18.51,37.02,18.51
EURUSD,Buy,"May 14, 2024 3:13 PM",1.08196,"May 14, 2024 3:16 PM",1.08156,1.08158,13.15,26.3,-552.3
EURUSD,Buy,"May 10, 2024 3:14 PM",1.07747,"May 10, 2024 3:19 PM",1.07699,1.07702,11.11,22.22,-555.5
EURUSD,Buy,"May 9, 2024 3:05 PM",1.07669,"May 9, 2024 6:27 PM",1.07787,1.07629,10,20.0,1160.0
GBPUSD,Sell,"May 9, 2024 11:08 AM",1.24932,"May 9, 2024 12:08 PM",1.24504,1.25007,6.66,13.32,2837.16
GBPUSD,Sell,"May 8, 2024 8:33 AM",1.24853,"May 8, 2024 11:00 AM",1.24935,1.24891,13.51,27.02,-1134.84
EURUSD,Buy,"May 7, 2024 4:44 PM",1.07713,"May 7, 2024 5:00 PM",1.07658,1.07672,20,40.0,-1140.0
EURUSD,Buy,"May 7, 2024 3:54 PM",1.07763,"May 7, 2024 4:33 PM",1.07726,1.07733,16,32.0,-624.0
EURUSD,Buy,"May 6, 2024 3:16 PM",1.0786,"May 6, 2024 3:17 PM",1.07837,1.0784,20,40.0,-500.0
EURUSD,Buy,"May 6, 2024 3:06 PM",1.07859,"May 6, 2024 3:07 PM",1.07836,1.07829,20,40.0,-500.0
EURUSD,Sell,"May 3, 2024 3:02 PM",1.07756,"May 3, 2024 8:01 PM",1.07684,1.07846,10,20.0,700.0
EURUSD,Buy,"May 2, 2024 3:42 PM",1.06839,"May 2, 2024 4:30 PM",1.06981,1.06784,11.11,22.22,1555.4
EURUSD,Sell,"May 2, 2024 3:22 PM",1.06824,"May 2, 2024 3:25 PM",1.06872,1.06868,11.36,22.72,-568.0
EURUSD,Sell,"May 1, 2024 7:34 PM",1.07,"May 1, 2024 7:39 PM",1.07082,1.0708,6.25,12.5,-525.0
EURUSD,Buy,"May 1, 2024 3:24 PM",1.06828,"May 1, 2024 3:25 PM",1.06808,1.06795,15,30.0,-330.0
EURUSD,Sell,"May 1, 2024 3:11 PM",1.06808,"May 1, 2024 3:15 PM",1.06863,1.06844,20,40.0,-1140.0
EURUSD,Sell,"May 1, 2024 2:29 PM",1.06797,"May 1, 2024 2:46 PM",1.06785,1.06844,20,40.0,200.0
EURUSD,Sell,"May 1, 2024 1:16 PM",1.06725,"May 1, 2024 1:19 PM",1.06756,1.06756,20,40.0,-660.0
EURUSD,Buy,"Apr 30, 2024 3:19 PM",1.07145,"Apr 30, 2024 3:34 PM",1.07087,1.07114,20,40.0,-1200.0
EURUSD,Buy,"Apr 30, 2024 3:09 PM",1.07135,"Apr 30, 2024 3:11 PM",1.07093,1.07099,20,40.0,-880.0
